gm_naam,gwb_code_10,gwb_code_8,regio,recs,gwb_code,a_inw,a_man,p_man,a_vrouw,p_vrouw,a_00_14,p_00_14,a_15_24,p_15_24,a_25_44,p_25_44,a_45_64,p_45_64,a_65_oo,p_65_oo,a_ongeh,p_ongeh,a_gehuwd,p_gehuwd,a_gesch,p_gesch,a_verwed,p_verwed,a_w_all,p_w_all,a_nw_all,p_nw_all,a_marok,p_marok,a_antaru,p_antaru,a_suri,p_suri,a_tur,p_tur,a_ov_nw,p_ov_nw,a_hh,a_1p_hh,p_1p_hh,a_hh_z_k,p_hh_z_k,a_hh_m_k,p_hh_m_k,g_hhgro,bev_dich,a_woning,g_woz,p_1gezw,p_mgezw,p_bjj2k,p_bjo2k,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_ru,a_pau,a_lftj6j,a_lfto6j,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_bau,a_m2w,a_opp_ha,a_lan_ha,a_wat_ha,ste_mvs,ste_oad
Zwijndrecht,GM0642,642,Zwijndrecht,Gemeente,GM0642,44454,21623,48.6,22831,51.4,7215,16.2,5034,11.3,10455,23.5,12084,27.2,9666,21.7,18757,42.2,19328,43.5,3518,7.9,2851,6.4,3331,7.5,5740,12.9,942,2.1,714,1.6,657,1.5,1421,3.2,2006,4.5,19900,6745,33.9,6166,31,6989,35.1,2.2,2185,20411,167,60,40,94,6,3255,30,600,685,535,380,690,340,20765,7535,13230,18005,2755,1,1020,2045,1415,2277,2035,243,2,2050
Borsele,GM0654,654,Borsele,Gemeente,GM0654,22612,11443,50.6,11169,49.4,4094,18.1,2603,11.5,4989,22.1,6691,29.6,4235,18.7,9611,42.5,10426,46.1,1451,6.4,1124,5,1364,6,532,2.4,23,0.1,33,0.1,61,0.3,36,0.2,379,1.7,9361,2694,28.8,3206,34.2,3461,37,2.4,160,9687,206,92,8,86,14,2025,355,390,375,130,200,360,220,12640,3305,9330,10250,2390,1.4,89,2530,1425,19452,14174,5278,5,315
Goes,GM0664,664,Goes,Gemeente,GM0664,37207,18252,49.1,18955,50.9,5549,14.9,4054,10.9,8444,22.7,10879,29.2,8281,22.3,15904,42.7,15847,42.6,3210,8.6,2246,6,3034,8.2,2635,7.1,284,0.8,111,0.3,484,1.3,200,0.5,1556,4.2,16981,6293,37.1,5461,32.2,5227,30.8,2.1,402,17748,198,76,24,87,13,3270,140,425,865,225,455,740,415,18930,6120,12815,15425,3510,1.1,205,2335,1550,10192,9257,934,3,1295
West Maas en Waal,GM0668,668,West Maas en Waal,Gemeente,GM0668,18693,9306,49.8,9387,50.2,2877,15.4,2139,11.4,3963,21.2,6090,32.6,3624,19.4,7967,42.6,8430,45.1,1211,6.5,1085,5.8,984,5.3,405,2.2,18,0.1,27,0.1,46,0.2,15,0.1,299,1.6,7876,2194,27.9,2761,35.1,2921,37.1,2.3,242,7960,238,87,13,86,14,2005,220,415,420,125,165,425,240,10395,3105,7285,8075,2315,1.3,135,1755,1050,8521,7717,803,5,401
Hulst,GM0677,677,Hulst,Gemeente,GM0677,27372,13644,49.8,13728,50.2,3791,13.8,2627,9.6,5697,20.8,8890,32.5,6367,23.3,10864,39.7,12606,46.1,2143,7.8,1759,6.4,6464,23.6,735,2.7,77,0.3,28,0.1,44,0.2,60,0.2,526,1.9,12344,3935,31.9,4458,36.1,3951,32,2.2,136,13272,183,91,9,87,13,2025,320,270,515,140,180,340,255,15360,4420,10940,12905,2455,1.2,76,1745,1190,25182,20161,5021,5,489
Kapelle,GM0678,678,Kapelle,Gemeente,GM0678,12639,6303,49.9,6336,50.1,2403,19,1410,11.2,2826,22.4,3630,28.7,2370,18.8,5162,40.8,6112,48.4,751,5.9,614,4.9,693,5.5,375,3,19,0.2,16,0.1,70,0.6,8,0.1,262,2.1,5110,1323,25.9,1763,34.5,2024,39.6,2.4,340,5223,221,91,9,81,19,1060,100,180,240,85,130,205,120,6530,1955,4575,5320,1205,1.3,176,1010,680,4963,3713,1249,4,629
Middelburg,GM0687,687,Middelburg,Gemeente,GM0687,47873,23245,48.6,24628,51.4,7838,16.4,5792,12.1,11001,23,13213,27.6,10029,20.9,21382,44.7,19932,41.6,3971,8.3,2588,5.4,4629,9.7,3825,8,277,0.6,298,0.6,527,1.1,886,1.9,1837,3.8,22405,8853,39.5,6695,29.9,6857,30.6,2.1,988,23004,173,70,30,86,14,3305,100,480,855,200,345,825,505,21385,5945,15440,17820,3565,1,441,2535,1690,5304,4847,457,2,1727
Giessenlanden,GM0689,689,Giessenlanden,Gemeente,GM0689,14544,7399,50.9,7145,49.1,2540,17.5,1845,12.7,3075,21.1,4336,29.8,2748,18.9,5968,41,7133,49,755,5.2,688,4.7,629,4.3,332,2.3,41,0.3,31,0.2,33,0.2,14,0.1,213,1.5,5783,1415,24.5,2041,35.3,2327,40.2,2.5,229,5883,273,89,11,87,13,1510,145,310,305,90,180,355,130,7565,2555,5010,6215,1350,1.3,119,1380,755,6511,6351,159,5,288
Reimerswaal,GM0703,703,Reimerswaal,Gemeente,GM0703,22265,11192,50.3,11073,49.7,4787,21.5,2861,12.8,5525,24.8,5407,24.3,3685,16.6,9992,44.9,10069,45.2,1133,5.1,1071,4.8,1966,8.8,856,3.8,44,0.2,16,0.1,54,0.2,205,0.9,537,2.4,8720,2568,29.4,2668,30.6,3484,40,2.5,219,8996,185,86,14,86,14,1885,270,385,420,130,220,315,150,10760,2635,8125,8715,2045,1.2,106,2095,1080,24242,10184,14057,4,502
Zederik,GM0707,707,Zederik,Gemeente,GM0707,13718,6872,50.1,6846,49.9,2522,18.4,1809,13.2,3132,22.8,3766,27.5,2489,18.1,5831,42.5,6609,48.2,576,4.2,702,5.1,360,2.6,246,1.8,7,0.1,10,0.1,25,0.2,13,0.1,191,1.4,5307,1332,25.1,1820,34.3,2155,40.6,2.6,187,5500,246,88,12,85,15,1445,210,345,275,100,140,275,110,7145,2180,4965,5715,1430,1.3,97,1840,675,7650,7346,304,5,295
Terneuzen,GM0715,715,Terneuzen,Gemeente,GM0715,54657,27171,49.7,27486,50.3,8126,14.9,5534,10.1,11871,21.7,16192,29.6,12934,23.7,21568,39.5,24595,45,4824,8.8,3670,6.7,9834,18,3798,6.9,266,0.5,524,1,220,0.4,1195,2.2,1593,2.9,25289,8877,35.1,8550,33.8,7862,31.1,2.1,218,26675,158,81,19,91,9,3615,355,535,905,395,330,670,425,29130,8610,20520,24925,4205,1.2,116,3705,2475,31776,25051,6725,4,860
Tholen,GM0716,716,Tholen,Gemeente,GM0716,25421,12688,49.9,12733,50.1,4798,18.9,3256,12.8,5790,22.8,7019,27.6,4558,17.9,10677,42,11917,46.9,1477,5.8,1350,5.3,1323,5.2,776,3.1,206,0.8,32,0.1,66,0.3,17,0.1,455,1.8,10236,2945,28.8,3304,32.3,3987,39,2.5,173,10626,183,90,10,85,15,2150,345,515,450,130,150,335,225,12705,3735,8970,10000,2710,1.2,87,2060,1080,25400,14677,10723,5,462
Veere,GM0717,717,Veere,Gemeente,GM0717,21960,11017,50.2,10943,49.8,3400,15.5,2420,11,4128,18.8,6551,29.8,5461,24.9,8380,38.2,11063,50.4,1259,5.7,1258,5.7,1383,6.3,480,2.2,18,0.1,30,0.1,43,0.2,16,0.1,373,1.7,9371,2752,29.4,3577,38.2,3042,32.5,2.3,165,10831,257,87,13,87,13,2335,325,435,655,95,255,370,200,11505,2965,8540,9575,1930,1.2,87,1910,1075,20662,13275,7387,5,344
Vlissingen,GM0718,718,Vlissingen,Gemeente,GM0718,44451,22097,49.7,22354,50.3,6620,14.9,5159,11.6,10495,23.6,12403,27.9,9774,22,19534,43.9,17758,39.9,4343,9.8,2816,6.3,6045,13.6,4860,10.9,1056,2.4,706,1.6,784,1.8,428,1,1886,4.2,22045,9382,42.6,6491,29.4,6172,28,2,1298,22434,149,64,36,89,11,2365,40,395,650,195,215,505,365,19930,5120,14810,17225,2705,0.9,582,1715,1965,34484,3424,31059,2,1895
Lingewaal,GM0733,733,Lingewaal,Gemeente,GM0733,11112,5527,49.7,5585,50.3,1949,17.5,1295,11.7,2443,22,3426,30.8,1999,18,4672,42,5302,47.7,610,5.5,528,4.8,536,4.8,409,3.7,110,1,24,0.2,40,0.4,28,0.3,207,1.9,4416,1017,23,1568,35.5,1831,41.5,2.5,221,4538,253,91,9,86,14,1070,95,235,215,70,120,240,100,5750,1785,3965,4520,1230,1.3,114,1075,550,5449,5039,410,5,318
De Ronde Venen,GM0736,736,De Ronde Venen,Gemeente,GM0736,42576,21039,49.4,21537,50.6,7014,16.5,5048,11.9,8601,20.2,13596,31.9,8317,19.5,18784,44.1,18778,44.1,2934,6.9,2080,4.9,3631,8.5,2797,6.6,631,1.5,175,0.4,397,0.9,226,0.5,1368,3.2,17965,5285,29.4,5627,31.3,7053,39.3,2.4,426,17608,304,81,19,92,8,4885,250,790,940,350,625,1415,520,21925,7620,14305,18540,3385,1.2,219,3380,1925,11698,9997,1701,4,850
Tytsjerksteradiel,GM0737,737,Tytsjerksteradiel,Gemeente,GM0737,32077,15973,49.8,16104,50.2,5626,17.5,3554,11.1,6748,21,9251,28.8,6898,21.5,13845,43.2,14402,44.9,1904,5.9,1926,6,1100,3.4,946,2.9,24,0.1,37,0.1,78,0.2,7,0,800,2.5,13254,3931,29.7,4495,33.9,4828,36.4,2.3,215,13646,183,89,11,88,12,2360,265,465,515,160,155,500,305,16155,4030,12125,12030,4125,1.2,108,2655,1550,16141,14928,1212,5,455
Aalburg,GM0738,738,Aalburg,Gemeente,GM0738,13038,6582,50.5,6456,49.5,2574,19.7,1748,13.4,3045,23.4,3556,27.3,2115,16.2,5626,43.2,6207,47.6,553,4.2,652,5,494,3.8,219,1.7,13,0.1,6,0,17,0.1,12,0.1,171,1.3,4868,1172,24.1,1506,30.9,2190,45,2.7,259,5031,239,88,12,80,20,1475,120,340,480,85,115,230,105,6880,1895,4985,5215,1665,1.4,137,1565,515,5317,5041,276,5,372
Asten,GM0743,743,Asten,Gemeente,GM0743,16580,8524,51.4,8056,48.6,2653,16,1970,11.9,3530,21.3,5085,30.7,3342,20.2,7252,43.7,7556,45.6,896,5.4,876,5.3,1135,6.8,537,3.2,103,0.6,10,0.1,33,0.2,23,0.1,368,2.2,6944,2092,30.1,2310,33.3,2542,36.6,2.4,236,6717,261,86,14,84,16,1725,250,335,345,85,230,300,175,8650,2015,6635,7035,1615,1.2,123,1785,665,7134,7017,117,4,944
Baarle-Nassau,GM0744,744,Baarle-Nassau,Gemeente,GM0744,6611,3345,50.6,3266,49.4,914,13.8,604,9.1,1364,20.6,2012,30.4,1717,26,2667,40.3,3013,45.6,461,7,470,7.1,1524,23.1,146,2.2,17,0.3,11,0.2,13,0.2,5,0.1,100,1.5,2890,896,31,1048,36.3,946,32.7,2.2,87,2746,245,86,14,87,13,845,185,160,210,35,55,135,65,3935,855,3080,3190,745,1.4,52,750,300,7629,7616,12,5,318
Bergen op Zoom,GM0748,748,Bergen op Zoom,Gemeente,GM0748,66237,32775,49.5,33462,50.5,10111,15.3,7346,11.1,15544,23.5,19904,30,13332,20.1,27925,42.2,28643,43.2,5823,8.8,3846,5.8,6454,9.7,9462,14.3,3342,5,213,0.3,460,0.7,3162,4.8,2285,3.4,29493,9868,33.5,9621,32.6,10004,33.9,2.2,829,29738,196,71,29,89,11,4700,125,755,1235,290,430,1110,760,31095,10030,21060,25690,5400,1.1,389,3170,2330,9313,7991,1321,2,1789
Best,GM0753,753,Best,Gemeente,GM0753,28976,14538,50.2,14438,49.8,4895,16.9,3483,12,6288,21.7,9201,31.8,5109,17.6,12542,43.3,13169,45.4,1967,6.8,1298,4.5,2479,8.6,1786,6.2,127,0.4,125,0.4,139,0.5,583,2,812,2.8,12059,3265,27.1,3925,32.5,4869,40.4,2.4,845,12031,254,81,19,84,16,2445,70,370,565,180,310,660,290,14555,4560,9990,11940,2615,1.2,424,1545,1180,3510,3430,80,3,1358
Boekel,GM0755,755,Boekel,Gemeente,GM0755,10254,5227,51,5027,49,1824,17.8,1328,13,2239,21.8,3080,30,1783,17.4,4826,47.1,4454,43.4,478,4.7,496,4.8,583,5.7,169,1.6,13,0.1,6,0.1,19,0.2,3,0,128,1.2,3880,945,24.4,1269,32.7,1666,42.9,2.6,297,3975,246,87,13,79,21,1055,205,275,185,60,100,130,105,5425,1220,4205,4240,1185,1.4,157,1100,805,3452,3451,1,5,496
Boxmeer,GM0756,756,Boxmeer,Gemeente,GM0756,28465,14349,50.4,14116,49.6,4302,15.1,3432,12.1,5728,20.1,9201,32.3,5802,20.4,12470,43.8,12778,44.9,1650,5.8,1567,5.5,1995,7,1389,4.9,132,0.5,62,0.2,96,0.3,226,0.8,873,3.1,12053,3576,29.7,4131,34.3,4346,36.1,2.3,255,11896,237,85,15,87,13,2200,285,290,560,110,225,465,265,14750,3695,11055,11570,3180,1.2,132,2065,1340,11384,11144,240,4,625
Boxtel,GM0757,757,Boxtel,Gemeente,GM0757,30406,15126,49.7,15280,50.3,5056,16.6,3454,11.4,6985,23,8755,28.8,6156,20.2,13442,44.2,13147,43.2,2142,7,1675,5.5,2183,7.2,2354,7.7,527,1.7,210,0.7,184,0.6,345,1.1,1088,3.6,13196,4304,32.6,4329,32.8,4563,34.6,2.3,477,13296,235,73,27,87,13,2560,130,510,555,160,255,625,325,14380,3675,10705,11575,2800,1.1,226,1965,1320,6485,6373,112,3,1231
Breda,GM0758,758,Breda,Gemeente,GM0758,181611,89091,49.1,92520,50.9,29434,16.2,25090,13.8,47968,26.4,47608,26.2,31511,17.4,94610,52.1,63935,35.2,14125,7.8,8941,4.9,20141,11.1,21170,11.7,5553,3.1,2187,1.2,2058,1.1,3031,1.7,8341,4.6,86716,36618,42.2,23623,27.2,26475,30.5,2.1,1442,81649,225,62,38,85,15,16580,220,2025,3820,1465,1870,5160,2015,151560,95230,56330,87055,64505,1.7,1203,14160,5645,12868,12596,272,2,2119
Deurne,GM0762,762,Deurne,Gemeente,GM0762,31878,16038,50.3,15840,49.7,4891,15.3,3975,12.5,6798,21.3,9913,31.1,6301,19.8,13946,43.7,14254,44.7,1862,5.8,1816,5.7,1731,5.4,1014,3.2,167,0.5,62,0.2,151,0.5,51,0.2,583,1.8,13241,3827,28.9,4512,34.1,4902,37,2.4,273,13433,240,86,14,87,13,3035,415,640,670,140,330,525,310,16230,3435,12800,13100,3130,1.2,139,3010,1535,11836,11693,142,4,835
Pekela,GM0765,765,Pekela,Gemeente,GM0765,12641,6380,50.5,6261,49.5,1891,15,1511,12,2937,23.2,3681,29.1,2621,20.7,5420,42.9,5327,42.1,1041,8.2,853,6.7,744,5.9,613,4.8,6,0,17,0.1,40,0.3,41,0.3,509,4,5490,1703,31,1847,33.6,1940,35.3,2.2,258,5777,128,88,12,91,9,665,65,140,185,50,40,95,90,6615,1480,5130,5425,1185,1.2,135,795,750,5020,4907,113,4,525
Dongen,GM0766,766,Dongen,Gemeente,GM0766,25413,12641,49.7,12772,50.3,4066,16,2869,11.3,5752,22.6,7724,30.4,5002,19.7,10756,42.3,11471,45.1,1744,6.9,1442,5.7,1630,6.4,1543,6.1,42,0.2,57,0.2,128,0.5,799,3.1,517,2,10718,3050,28.5,3630,33.9,4038,37.7,2.3,867,10792,220,85,15,86,14,2065,115,395,455,120,195,505,280,13135,3765,9370,11125,2010,1.2,448,1385,1175,2974,2929,44,3,1141
Eersel,GM0770,770,Eersel,Gemeente,GM0770,18551,9377,50.5,9174,49.5,2841,15.3,2206,11.9,3785,20.4,5832,31.4,3887,21,7981,43,8466,45.6,1087,5.9,1017,5.5,1117,6,439,2.4,3,0,20,0.1,36,0.2,16,0.1,364,2,7674,2171,28.3,2723,35.5,2780,36.2,2.4,225,8008,283,83,17,84,16,1880,225,350,355,110,230,435,175,10435,2755,7680,8610,1825,1.4,127,1825,1090,8333,8246,86,4,556
Eindhoven,GM0772,772,Eindhoven,Gemeente,GM0772,224755,115052,51.2,109703,48.8,33437,14.9,30533,13.6,68093,30.3,55422,24.7,37270,16.6,119804,53.3,75316,33.5,19109,8.5,10526,4.7,31032,13.8,42243,18.8,5985,2.7,2724,1.2,3759,1.7,10306,4.6,19469,8.7,114614,54502,47.6,29415,25.7,30697,26.8,1.9,2564,106732,206,63,37,86,14,19080,45,2185,4230,2075,1860,6140,2545,98370,29155,69210,80220,18150,0.9,1122,10320,6705,8887,8765,123,1,2530
Etten-Leur,GM0777,777,Etten-Leur,Gemeente,GM0777,42832,21150,49.4,21682,50.6,7328,17.1,4534,10.6,10577,24.7,12372,28.9,8021,18.7,18434,43,18908,44.1,3372,7.9,2118,4.9,3907,9.1,3737,8.7,840,2,242,0.6,267,0.6,904,2.1,1484,3.5,18139,5234,28.9,6021,33.2,6884,38,2.3,774,18408,224,82,18,79,21,3370,170,575,800,260,320,815,435,21095,7150,13940,17895,3195,1.2,381,2465,1740,5592,5534,58,2,1638
Geertruidenberg,GM0779,779,Geertruidenberg,Gemeente,GM0779,21630,10751,49.7,10879,50.3,3597,16.6,2239,10.4,5171,23.9,6434,29.7,4189,19.4,9271,42.9,9607,44.4,1505,7,1247,5.8,1289,6,698,3.2,44,0.2,57,0.3,121,0.6,80,0.4,396,1.8,9292,2669,28.7,3140,33.8,3483,37.5,2.3,812,9553,201,80,20,86,14,1890,55,385,440,170,185,445,215,11255,3895,7355,9290,1960,1.2,422,1400,930,2964,2665,299,3,1084
Gilze en Rijen,GM0784,784,Gilze en Rijen,Gemeente,GM0784,26152,13108,50.1,13044,49.9,4341,16.6,3019,11.5,5962,22.8,7752,29.6,5078,19.4,11133,42.6,11900,45.5,1813,6.9,1306,5,2080,8,2050,7.8,137,0.5,98,0.4,95,0.4,924,3.5,796,3,10925,3041,27.8,3848,35.2,4036,36.9,2.3,399,11138,227,86,14,83,17,2035,130,375,460,150,145,495,285,13310,3975,9335,11095,2215,1.2,203,1620,1320,6566,6549,17,3,1053
Goirle,GM0785,785,Goirle,Gemeente,GM0785,23111,11441,49.5,11670,50.5,3921,17,2331,10.1,4999,21.6,7005,30.3,4855,21,9525,41.2,10779,46.6,1579,6.8,1228,5.3,1541,6.7,990,4.3,106,0.5,89,0.4,87,0.4,225,1,483,2.1,9888,2708,27.4,3531,35.7,3649,36.9,2.3,549,9906,247,84,16,85,15,1855,60,310,400,120,210,530,220,11610,3645,7965,9805,1805,1.2,276,1140,1000,4235,4209,26,3,1168
Grave,GM0786,786,Grave,Gemeente,GM0786,12643,6550,51.8,6093,48.2,1988,15.7,1436,11.4,2929,23.2,3810,30.1,2480,19.6,5756,45.5,5347,42.3,886,7,654,5.2,1042,8.2,765,6.1,32,0.3,24,0.2,50,0.4,19,0.2,640,5.1,5188,1573,30.3,1779,34.3,1836,35.4,2.3,465,5304,201,82,18,89,11,885,65,180,205,50,60,210,115,6545,1705,4835,5125,1415,1.3,241,575,655,2803,2718,85,4,633
Haaren,GM0788,788,Haaren,Gemeente,GM0788,13570,6968,51.3,6602,48.7,2017,14.9,1670,12.3,2535,18.7,4492,33.1,2856,21,5869,43.2,6267,46.2,785,5.8,649,4.8,596,4.4,270,2,18,0.1,23,0.2,20,0.1,10,0.1,199,1.5,5384,1356,25.2,1952,36.3,2076,38.6,2.4,235,5429,312,88,12,90,10,1440,220,230,240,70,200,340,140,7335,1990,5345,5785,1550,1.4,127,1490,645,5856,5771,85,5,331
Helmond,GM0794,794,Helmond,Gemeente,GM0794,90127,45294,50.3,44833,49.7,16273,18.1,10314,11.4,23373,25.9,25636,28.4,14531,16.1,41594,46.2,36440,40.4,7885,8.7,4208,4.7,11211,12.4,11136,12.4,3845,4.3,682,0.8,613,0.7,2439,2.7,3557,3.9,39502,13267,33.6,11350,28.7,14885,37.7,2.3,1695,39407,197,75,25,82,18,6505,60,1280,1635,450,725,1525,840,41180,11645,29535,34325,6855,1,774,4290,2885,5475,5319,157,2,1725
s-Hertogenbosch,GM0796,796,s-Hertogenbosch,Gemeente,GM0796,151608,74807,49.3,76801,50.7,24724,16.3,17434,11.5,41514,27.4,42607,28.1,25329,16.7,76014,50.1,55918,36.9,12422,8.2,7254,4.8,13350,8.8,16227,10.7,4780,3.2,1035,0.7,1850,1.2,2766,1.8,5796,3.8,70511,27498,39,20166,28.6,22847,32.4,2.1,1372,69726,228,62,38,83,17,15370,190,2345,3340,1290,1595,4545,2060,75985,28625,47360,56895,19090,1.1,688,8405,4565,11807,11051,757,2,1917
Heusden,GM0797,797,Heusden,Gemeente,GM0797,43274,21652,50,21622,50,7076,16.4,5009,11.6,9739,22.5,13187,30.5,8263,19.1,18400,42.5,19841,45.8,2845,6.6,2188,5.1,2927,6.8,2614,6,334,0.8,109,0.3,130,0.3,1076,2.5,965,2.2,18113,5008,27.6,6058,33.4,7047,38.9,2.4,549,18281,255,85,15,87,13,3995,195,855,890,250,445,875,480,22700,6795,15905,17960,4740,1.3,288,2795,1855,8122,7888,233,3,1057
Hilvarenbeek,GM0798,798,Hilvarenbeek,Gemeente,GM0798,15164,7628,50.3,7536,49.7,2423,16,1768,11.7,3031,20,4826,31.8,3116,20.5,6483,42.8,7103,46.8,781,5.2,797,5.3,786,5.2,298,2,14,0.1,19,0.1,23,0.2,12,0.1,230,1.5,6238,1662,26.6,2204,35.3,2372,38,2.4,160,6476,283,89,11,85,15,1650,245,270,325,85,165,360,195,8400,2200,6200,6815,1580,1.3,88,1660,785,9651,9490,161,4,583
Loon op Zand,GM0809,809,Loon op Zand,Gemeente,GM0809,22929,11345,49.5,11584,50.5,3571,15.6,2535,11.1,4954,21.6,7055,30.8,4814,21,9752,42.5,10276,44.8,1508,6.6,1393,6.1,1442,6.3,807,3.5,25,0.1,47,0.2,93,0.4,236,1,406,1.8,9798,2756,28.1,3440,35.1,3602,36.8,2.3,458,10110,237,82,18,85,15,2015,95,390,520,105,200,450,255,12085,3745,8340,10040,2045,1.2,242,1340,1060,5071,5001,70,3,1049
Mill en Sint Hubert,GM0815,815,Mill en Sint Hubert,Gemeente,GM0815,10801,5512,51,5289,49,1639,15.2,1310,12.1,2118,19.6,3540,32.8,2194,20.3,4599,42.6,5052,46.8,538,5,612,5.7,437,4,180,1.7,18,0.2,5,0,13,0.1,10,0.1,134,1.2,4392,1128,25.7,1586,36.1,1678,38.2,2.4,207,4440,240,91,9,91,9,1030,145,220,225,50,110,180,105,6270,1450,4820,4885,1385,1.4,120,1165,750,5317,5223,95,5,305
Nuenen. Gerwen en Nederwetten,GM0820,820,Nuenen. Gerwen en Nederwetten,Gemeente,GM0820,22763,11282,49.6,11481,50.4,3448,15.1,2411,10.6,4237,18.6,7121,31.3,5546,24.4,8990,39.5,10866,47.7,1662,7.3,1245,5.5,1984,8.7,723,3.2,32,0.1,55,0.2,82,0.4,39,0.2,515,2.3,9914,2747,27.7,3675,37.1,3492,35.2,2.3,675,10017,287,87,13,90,10,2270,60,310,500,155,340,680,230,12530,3850,8680,10470,2055,1.3,372,1135,1000,3394,3372,22,3,1107
Oirschot,GM0823,823,Oirschot,Gemeente,GM0823,18199,9143,50.2,9056,49.8,2808,15.4,2258,12.4,3620,19.9,5900,32.4,3613,19.9,7865,43.2,8298,45.6,1025,5.6,1011,5.6,799,4.4,392,2.2,5,0,32,0.2,38,0.2,11,0.1,306,1.7,7368,1973,26.8,2541,34.5,2854,38.7,2.4,179,7437,304,87,13,85,15,1945,280,315,430,100,220,395,210,10285,2805,7480,8310,1975,1.4,101,1670,920,10284,10178,106,4,607
Oisterwijk,GM0824,824,Oisterwijk,Gemeente,GM0824,25835,12745,49.3,13090,50.7,4038,15.6,2921,11.3,5249,20.3,7780,30.1,5847,22.6,11058,42.8,11296,43.7,1846,7.1,1635,6.3,1656,6.4,1198,4.6,154,0.6,69,0.3,69,0.3,99,0.4,807,3.1,10850,3264,30.1,3673,33.9,3913,36.1,2.3,405,11178,303,81,19,86,14,2890,130,430,680,130,410,835,280,13320,4135,9185,10815,2505,1.2,209,1535,1045,6513,6386,126,4,955
Oosterhout,GM0826,826,Oosterhout,Gemeente,GM0826,54018,26612,49.3,27406,50.7,8430,15.6,5951,11,11960,22.1,16322,30.2,11355,21,22304,41.3,24211,44.8,4395,8.1,3108,5.8,4768,8.8,5442,10.1,1531,2.8,291,0.5,334,0.6,1518,2.8,1768,3.3,23944,7485,31.3,8137,34,8322,34.8,2.2,756,24248,212,74,26,88,12,4715,130,795,1165,350,545,1175,550,28580,9965,18620,23390,5195,1.2,400,3595,2050,7309,7149,160,2,1533
Oss,GM0828,828,Oss,Gemeente,GM0828,90003,45079,50.1,44924,49.9,14443,16,10634,11.8,21490,23.9,26712,29.7,16724,18.6,39805,44.2,38818,43.1,6642,7.4,4738,5.3,7202,8,8229,9.1,447,0.5,286,0.3,648,0.7,4250,4.7,2598,2.9,38988,12433,31.9,12150,31.2,14405,36.9,2.3,552,38831,204,79,21,87,13,7585,415,1645,1820,500,785,1550,870,45205,13500,31710,35880,9325,1.2,277,6865,3545,17093,16319,774,3,1346
Rucphen,GM0840,840,Rucphen,Gemeente,GM0840,22276,11204,50.3,11072,49.7,2799,12.6,2413,10.8,4568,20.5,7797,35,4699,21.1,8044,36.1,11129,50,1487,6.7,1616,7.3,1376,6.2,515,2.3,72,0.3,24,0.1,63,0.3,25,0.1,331,1.5,9529,2480,26,3516,36.9,3533,37.1,2.3,346,9534,240,92,8,89,11,2210,190,670,450,125,180,320,270,12575,4405,8170,10805,1770,1.3,195,2120,1135,6448,6441,6,4,653
Schijndel,GM0844,844,Schijndel,Gemeente,GM0844,23625,11832,50.1,11793,49.9,3807,16.1,2595,11,5356,22.7,7319,31,4548,19.3,10276,43.5,10482,44.4,1637,6.9,1230,5.2,1353,5.7,706,3,95,0.4,33,0.1,99,0.4,16,0.1,463,2,9975,2805,28.1,3382,33.9,3788,38,2.3,569,9862,251,83,17,86,14,2335,95,670,535,100,260,430,255,12405,3210,9195,9885,2520,1.2,299,2245,1020,4166,4153,13,3,1079
Sint-Michielsgestel,GM0845,845,Sint-Michielsgestel,Gemeente,GM0845,28403,14254,50.2,14149,49.8,4787,16.9,3174,11.2,5876,20.7,8717,30.7,5849,20.6,12063,42.5,13137,46.3,1590,5.6,1613,5.7,1442,5.1,757,2.7,51,0.2,57,0.2,124,0.4,25,0.1,500,1.8,11550,3072,26.6,3934,34.1,4544,39.3,2.4,486,11738,287,88,12,87,13,2840,175,620,510,150,360,710,310,15155,4440,10715,12040,3115,1.3,259,2200,1290,5934,5843,91,4,602
Sint-Oedenrode,GM0846,846,Sint-Oedenrode,Gemeente,GM0846,17896,8905,49.8,8991,50.2,2919,16.3,2098,11.7,3886,21.7,5336,29.8,3657,20.4,7805,43.6,8075,45.1,1011,5.6,1005,5.6,922,5.2,471,2.6,27,0.2,18,0.1,43,0.2,25,0.1,358,2,7401,2082,28.1,2525,34.1,2794,37.8,2.4,278,7395,284,85,15,84,16,1850,250,400,375,80,195,360,190,9900,2675,7225,7805,2095,1.3,154,1465,900,6494,6441,53,4,674
Someren,GM0847,847,Someren,Gemeente,GM0847,18914,9648,51,9266,49,2841,15,2358,12.5,4233,22.4,5923,31.3,3559,18.8,8278,43.8,8606,45.5,990,5.2,1040,5.5,1299,6.9,413,2.2,44,0.2,11,0.1,19,0.1,11,0.1,328,1.7,7784,2190,28.1,2632,33.8,2962,38.1,2.4,236,7783,254,86,14,82,18,2040,290,475,425,95,230,325,195,9905,2270,7640,8025,1885,1.3,123,2295,865,8150,8027,123,4,707
